Sub,Post_ID,Title,Date,Content
belfast,hs3car,"Suggestion, what to see in Belfast.",2020-07-16,day trip elfast recommend day lso recommendations nice restaurant appreciated hank
belfast,hsb14o,Provisional License question,2020-07-17,ve decided learning drive aware driving arent chance luck ago date application contact apply details changed lot including address change grateful
belfast,hsjc84,What's the craic with rental property prices at the minute,2020-07-17,botanic takes month people set ive idea landlords elfast rented elfast wee ve decent reasonable price options hy hard
belfast,hsxr7x,Best place to go out in Belfast with the current situation?,2020-07-18,ust wondering night days ent pub week smoking hours pints lads
belfast,hsz59l,"Restaurants and bars: who is doing social distancing and PPE well, and who isn't?",2020-07-18,post experiences people social distancing ll ome family close taking distance busy
belfast,ht80wj,All these things being renamed due to past racism etc - when are we changing Cromwell street?,2020-07-18,discussion opinions discussion weve lots bad people ere black lives matter read move opinion context id bad lots past ere past
belfast,hty5l8,Musician from Belfast,2020-07-19,posted recent music elfast break local music scene style degree short collection songs share local musicians id link found
belfast,hu050h,Looking for a social outlet in Belfast. Anybody got an tips?,2020-07-19,family mine lives elfast meeting people art likes music music post outh free share info doesnt keen greatly appreciated hanks
belfast,hu2snp,Things I learned about renting/buying/living in Belfast...,2020-07-20,times live ave renting moving elfast moved lived share ve moved elfast lived house share personal money rented south elfast youre mind youre party time house bit job coming cool coffee shop street buy time move decided rent apartment ast elfast outh elfast est city looked safe orth doesnt transport route city centre ntrim road doesnt cafes bars enjoy south east east couple nice bars decent transport live opinion moved apartment quiet street ood month dont youre youre rent start weeks dont time view reason garden advice list heres luck online lot empty hoping money sense hat expensive landlords move paying bedroom apartment nice ut hard paying landlord court ome neighbours light party night renting test happy buy close advise living buy check neighbours move pay bit decent neighbours police advice pay decent check dont walk property found house months house times apartment ve house feel community ts minute walk train pints eat weekend nice close airport ondon lot stuck buy apartment rent
belfast,hv3pz5,Butchery Jobs in Belfast,2020-07-21,girlfriend moving elfast ondon eptember doesnt huge amount post people nyone recommendations
belfast,hv5hn4,Best mobile service provider in Belfast?,2020-07-21,moving elfast uni ut wondering companies elfast ondon matter prices elfast hanks
belfast,hvqxun,pubs with patios/table service,2020-07-22,remember ive decided pub idea takeaway hotel ive meet friends drinks people sick world recommendations pubs night ueens reasonable walking distance advance
belfast,hw26au,"Motorcycle CBT, lessons, Direct Access",2020-07-23,road ost bike figured lot shit hits preferably hearing mixed reviews people shops folks recommendations ts lot money paying worth offered lso tips decent shops ve shop house bike ve folks
belfast,hw2h73,Moving to Montreal,2020-07-23,anada moving degree time hard finding property job ow bring ny
belfast,hwxql2,Moving to England,2020-07-24,lived elfast eptember anuary absolutely move ngland advise ondon surrounding lived thinking likes experience life helpful hank advance
belfast,hwyc0n,Titanic Studios,2020-07-24,live ngland moment film niversity move elfast itanic game shot oes hard job offer
belfast,hx4qd4,How difficult would it be to get a part time lodger Monday-Friday in Belfast?,2020-07-25,bedroom living house isburn road house close train property house people house rented monthly rent month earn money house issue living days week wondering rent offer rent single bedroom days week person house term thinking month rent love people term days week monthly rental
belfast,hxbyin,I am thinking to move to Belfast,2020-07-25,family thinking move elfast time dont hats job situation live moment struggling job jobs offer jobs family lives absolutely love nature people met hank
belfast,hy9zb6,Parking in Victoria Square,2020-07-27,recently yesterday posted park car hour half hour half pretty expensive city centre home hours time parked public pretty expensive parking
belfast,hydqfe,Audiobook from ASIWYFA founder just released,2020-07-27,ey lso ampamp word cool book ampamp elfast ampamp ampamp book free membership dont wanna ampamp ampamp ave evening ampamp cheers reading ampamp listening friend ampamp
belfast,hyy4aq,Dungeons and Dragons Groups in Belfast??,2020-07-28,elfast wondering games dont play dont play love games games minute isnt hanks
belfast,hyzqfc,"Sadly, US government has deported a PIRA veteran to Belfast",2020-07-28,elfast country ritish police hey similar police outh merica hope reland reland train merica join
belfast,hza4pr,Dentist in Belfast,2020-07-28,ello elfast bad live stupid ut lot happy job amazing relationship time including bit scared journey hank advance
belfast,hzj1ll,Being relocated,2020-07-29,job elfast company information ut id love city free ll learn
belfast,hzxns4,Taxi drivers constantly asking basic direction questions,2020-07-29,noticed past taxi idea constantly questions destination taxi provide pick destination hen taxi questions taxi destination hen question route explain dont drive wouldnt fter dont drive continue questions road town specific fter constantly dont dont drive super taxi driver job hey finding destination destination front experienced growing stuff elfast isburn taxi
belfast,i06seu,Accommodation at Queen’s University Belfast,2020-07-30,moving elfast eptember university wondering ideally current students accommodation options ueens niversity elfast live ny information accommodation options appreciated
belfast,i0hq44,Southerner moving to Belfast,2020-07-30,friend mine recently job elfast hes reland based months sort accommodation car southern fairly car safe hat avoid people belfast decent people car tips move decent honest
belfast,i3j1ug,Dog fostering?,2020-08-04,ey ya living west dog dog dont dog experience dog dog ll dont ny advice nyone dog looked
belfast,i444b0,Public tennis courts?,2020-08-05,ecently moved wondering public city walk play booking common cheers
belfast,i4c1vd,Belfast Telegraph paywall getting you down?,2020-08-06,read local pay month page page ell found lso ad dont
belfast,i4u9hq,"Sustainable, Animal-Friendly Unisex Footwear [Designed in Ireland]",2020-08-07,ere happy announce reland urope juice industry super industry reland rish ere set giving live feel incredibly grateful support weve received check page
belfast,i6hf03,Skating?,2020-08-09,ust chance recently decided moved elfast friends share nyone round fancy complete giving hand learn
belfast,i6mtvr,Best tattoo artist in the country?,2020-08-10,ve tattoo looked reviews recommend tattoo head hair attention concerned price border greatly
belfast,i78cea,OMFG stop driving in the right lane!,2020-08-11,waiting light ont started light cheap yeah left ready past left lane idiot ho allowed front lane road car sit lane totally stuck idiot coming idiot lane passed left ahead passed car middle lane passed idiot front finally middle lane ahead idiot passed noticed home drive middle lock
belfast,i8ary6,Silly Question to do with buying NI property,2020-08-12,oving elfast month ve noticed lot ut offer low price
belfast,i9578q,Survey about yourself and Coronavirus/COVID-19 (Adult UK nationals only; 7-8 mins to complete),2020-08-14,ello psychology researchers niversity ent huge fill quick survey survey takes minutes complete happy answer questions time
belfast,i9m8s0,Jobs?,2020-08-14,shot jobs local shops care hate based ast ve car happy drive
belfast,iabyhf,On my way!,2020-08-16,moving south elfast month ave advise tips reland ove hoping
belfast,iavn2p,Brit and Irish Girl Visiting Belfast,2020-08-17,girlfriend ritish rish visit elfast ere aware troubles times moved recommend visiting opinion city eve heard black keen learn troubles history guys recommend hanks
belfast,ib08yw,Visiting over August Bank Holiday weekend,2020-08-17,ill visiting onday ill book pubs walk ny recommendations pubs eat hanks advance
belfast,idyww2,Abandoned Arcade,2020-08-22,ve heard stories abandoned elfast city centre ny greatly cool abandoned spots elfast hit happy ave weekend folks
belfast,iee6sl,2 days trip to Belfast,2020-08-22,guys visit elfast weekend aturday unday covid restrictions elfast time car walk public
belfast,iefw6l,Trash Trouble at New House on the Greenway,2020-08-22,recently bought house moving elfast view garden moved eople garden garden sort fine figured ut morning garden house hat leave isnt
belfast,ifthar,Grey Northface,2020-08-25,hen shit gonna started ago single wee black ven days black tourists alls id incredibly wouldnt mind wasnt hey child wee lads
belfast,ifujag,Dinner &amp; Drinks in Belfast post Covid-19,2020-08-25,mates night elfast aturday nyone recommendations plan ike thinking book drinks hours table hours ot operating suggestions appreciated
belfast,ifvijt,How are the student flats at 123 York Street?,2020-08-25,lived lived ork treet renting studio photos website itd insight hanks advance
belfast,igw2fx,Private landlords,2020-08-26,wondering private landlords renting houses apartments ve property agents paid hand
belfast,ih950u,Pubs in the city center showing Motherwell v Glentoran,2020-08-27,game whilst lot fans watching game pub city fans watching game
belfast,iicm5b,Estate Agent Selling Fees,2020-08-29,advise local estate agents sell property fairly similar bought house time hanks
belfast,ijionc,Red car Air freshener...,2020-08-31,ello ve moved orth elfast lived front door busy road car air wouldnt happening door dont type thinking weird event guys
belfast,ijkchg,Long hair trim for men in Belfast,2020-08-31,ike quarantine lads ve growing hair ooking spot ideally south elfast city centre
belfast,ikfzsx,Opinions on Belvoir area,2020-09-01,ey guys friends moving elfast catholic ith catholic ust hey neighbours friendly ust concerned
belfast,iko8ek,Estate agents scam?- Was in a bidding war with another buyer but the buyer can't be contacted after a certain amount. Anyone ever experienced this?,2020-09-02,ago house amount ahead yesterday renting house happened current similar amount buying houses common ow estate agencies deal
belfast,il3dl9,Door manufacturers/suppliers in Belfast?,2020-09-02,ey front door ot cheap job super door ny suggestions
belfast,ilty0k,Emergency food,2020-09-03,food fridge food wasnt living ve apply ve tonight dont paid riday ny advice greatly appreciated
belfast,imcxjy,Disabled &amp; Moving House,2020-09-04,suggestions moving moving ueens studio house flight bedroom times ueens due quarantine items ve rented car common moving similar hoping pay
belfast,injhoa,Parking overnight for 3 nights in/near the city,2020-09-06,doesnt parking suggestions ont car parked park leave car nights hanks
belfast,iopa0p,Flag Areas,2020-09-08,move elfast falls road rent moving thinking ill southern southern accent stay people short wondering live hats falls road live
belfast,ipnhjy,Opinions on Albertbridge Road?,2020-09-10,lads moving elfast outh love elfast love people times continue moving road ound house ow feeling ll road lovely local people ve met absolutely lovely opinion helpful couple people started surrounding unsure call food shop pub
belfast,iqmj5e,Ophir Gardens - Cavehill,2020-09-11,nyone live advise live view house live nearby love hear experiences living wasnt ve street busy street
belfast,ir97hi,Any kickbox fitness training gym?,2020-09-12,attend ound gym absolutely lockdown waiting similar gym similar deally people ny
belfast,irfdw8,VHS repair shops?,2020-09-13,shot bought video start home stuck inside nyone ideally east ot video
belfast,iskpuj,Stranmillis Primary School,2020-09-14,oes children attend children tranmillis people move specifically send kids school explain school
belfast,itg2u7,Late night food and drink in BT9 area?,2020-09-16,elfast lasgow weekend dont late riday night ur air local food drinks pm heers
belfast,itu4i9,Diameter of underground drain pipe connecting to sewer in my driveway? (Rat blocker installation),2020-09-16,elfast ast worth standard question black route heading street garden route pipe route neighbours house pipe pipe fairly advice received
belfast,itvs58,Question about salary and cost of living in Belfast,2020-09-16,offered company title wondering family staying home taking care monthly car rent helpful provide advance move elfast
belfast,itwivz,Think my neighbour is neglecting their dog. What can I do?,2020-09-16,title dont pretty leave dog day home hear morning evening months past week ve hearing evening constantly pretty concerned hat elfast deal contact
belfast,itz6pw,"Long shot this, I found an SD card with photos from a wedding in Belfast Town Hall... Does anyone recognise the folks in the photo?",2020-09-17,ound card ondon photos lots elfast hall ecember shot couple ideas card
belfast,iuhbpr,Driving Instructors around Belfast.,2020-09-17,student offered test local centre living elfast hat recommend whats price range
belfast,iups6t,Cheapest place to get diesel in Belfast?,2020-09-18,ve recently moved elfast suggestions reasonable prices erry live route erry
belfast,ivvrj3,Trouble in the city centre,2020-09-20,nyone shite town looked class people shite ow learn ts
belfast,iw4fxp,Taxi School run,2020-09-20,recommend taxi driver school run falls road south belfast taxi expensive wee waiting transport special taking time contact details heers
belfast,ix5hzf,Flying into Belfast,2020-09-22,ey elfast recently security restrictions due visit elfast weekend friend isnt allowed mates recently questions security visiting staying security keen trip months
belfast,j0qru0,Whitehall Squre apartments,2020-09-27,couple month hear experienced view sound play guitar itd nice hearing neighbours talking time easy hat apartment safe ny advice greatly hard time finding decent ost quid month apartments
belfast,j0zfh8,Emergency advice needed,2020-09-28,fridge day food food money week payment aware provide short term grateful items hanks advance
belfast,j1vwzx,Tech/Computing Internships for Students?,2020-09-29,student ublin current situation hand elfast friend months ust bit change recommendations companies ny appreciated specific
belfast,j24t76,When do off licences close or tesco etc stop selling booze?,2020-09-30,ve moved pm week pub taxi home night home taxi driver told chance nearby selling time google drink theyd
belfast,j2t6x4,Restaurant recommendations,2020-10-01,eat partner anniversary week recently urkey nice share recommendations town friendly
belfast,j363t0,Northern Ireland Venues LIGHT UP RED To Support Global Day of Action,2020-10-01,industry lobal ay live support ovid lobal ay yesterday pm local time including orthern reland
belfast,j3djut,Marketing Manager Jobs Belfast,2020-10-02,shot based ondon elfast ike covid realise home ve jobs elfast doesnt jobs wrong tips advice appreciated
belfast,j4wrux,I want you to send me a photo you took during lockdown (hear me out…),2020-10-04,ey project single hats collection people reland book months lockdown image short image lockdown experience book based mental health specific ho reland ou image share amazing story life experienced lockdown reland love hat experience lockdown low shot project isnt cultural moment personal totally eople lockdown image context image means image book isnt creative writing write mind fine fine ve set page free questions ll share word biggest
belfast,j5ion0,Moving to Belfast from Glasgow,2020-10-05,advise time move move elfast ove city rent bit ve bit research hoping hear locals ust nice bring wee decent lasgow elfast elfast communities lasgow live couldnt flying rish atholic dont bring wee community mad uly hats spend month ould city transport shops lot taking time read hope hear
belfast,j5iqk4,N.Ireland guitar maker is raffling an ACOUSTIC GUITAR worth £6000 to raise money for struggling musicians during pandemic,2020-10-05,based guitar guitar ticket price ll money struggling musicians orthern reland difficult due pandemic guitar
belfast,j5ir33,Sainsburys Forestside,2020-10-05,rules recommend staff space shop shops ve ll moving scene person love company normal post rules shop
belfast,j6wul6,NI V Bosnia Euro Play Off,2020-10-08,ecently moved home elfast world est pub watch game tomorrow decent songs
belfast,j80nb0,Moving to Belfast,2020-10-10,moving elfast lasgow ve city property hat elfast property moving music play late night ny advice greatly appreciated
belfast,jaw46k,Catholics Out?,2020-10-14,advise een property catholic person live dodgy nice ve past ny
belfast,jb1wkj,How LGBT friendly is Belfast?,2020-10-15,moving ngland elfast couple months belfast whos told wondering friendly
belfast,jb9po4,Desk chair stockists around Belfast?,2020-10-15,remotely week pick half decent ny ve oad office week
belfast,jbmidi,Sugar baby needed,2020-10-15,ello real support huge amount payment dont return ready talk dont care male female
belfast,jbxedp,A lot more police on the streets than normal?,2020-10-16,ast night home police ot incredibly bit morning police walking otanic dont
belfast,jckcfo,Belfast LGBTQ+ creatives I need your help!,2020-10-17,research experiences creative job creative social writing education video grateful mins fill incredibly focus research lease share friends
belfast,jdy0vd,Organic butchers,2020-10-19,oes experience city standard oogle search mixed reviews website times pay tax top support local online avoid keen likes free range
belfast,jfa61p,Places to study,2020-10-21,study dont cafes covid ueens arent moment oes ideas quiet sit study house
belfast,jfoms4,Where not to go?,2020-10-22,ello due move elfast month constantly people elfast white ritish
belfast,jg8t3m,Best pint of Guinness in Belfast?,2020-10-23,ey student elfast lot pubs south super isburn road ny suggestions
belfast,jgj4mx,Helicopter,2020-10-23,oes flying night night recently ast night hotel flying possibly finally
belfast,jh7un9,Restaurant takeout.,2020-10-24,fter restaurant takeout tonight keen usual takeout tonight fancy bit
belfast,jhentk,Where to get a gift certificate?,2020-10-25,gift friend elfast sort gift restaurant date night havent lived elfast ould hank advance
belfast,jicwo0,Top up electricity,2020-10-26,ello moving week elfast house paid monthly house top dont understand ould explain card hank advance
belfast,jim0pe,Desperate for Work,2020-10-27,job waiting anuary ust finished family support hit hand ny tips finding job hanks
belfast,jivioo,Belfast met sucked,2020-10-27,ust elfast met study video game people nature fine left uni abroad feel education poor game learn class minutes sense learning earn write dont learn code sense thinking met close students stuck ass dont care lot people ay school care person met friends class issues ve brought brought issues left school issues due school uni left wasnt ust heard nights similar stuff mind late
belfast,jj9p9y,Chinese takeout,2020-10-28,hinese elfast referably deliver doesnt matter dont care doesnt matter chicken sort hinese takeout
belfast,jjquxh,Skate spots,2020-10-29,nyone skate spots belfast shite lol eed level ny appreciated
belfast,jjul40,Do you have any Belfast bank recommendations for switching my current account?,2020-10-29,moving ondon elfast bank orthern reland account bank visit bank account recommendations dont stuff avoid due bad service ve account reland avoid
belfast,jkvb80,Looking job in workshop,2020-10-30,ello dont job similar elfast experience finished elfast applied jobs pleased
belfast,jlo2ue,What's the crack with halloween knockers,2020-11-01,day mask bag door door quid remember ow home shite round tonight daughter white black shite daughter song world coming hoping quid bag
belfast,jlomdj,Housemate/Flatmate,2020-11-01,ut house flat share alls road matter age home dont quiet type ike questions write ould bit living
belfast,jma2uq,Question for people who live near the Belfast-Dublin train line,2020-11-02,thinking moving house close train house worried sound train train normal lives train stupid question advance
belfast,jn8u9j,Which software companies would you recommend to avoid working for?,2020-11-03,job looked reviews issues people share experiences companies avoid recommend
belfast,jo3ldr,My heads fuckin melted,2020-11-05,ya ya ike luck job jobs covid ass months home car ike hate people luck ecember ould love wee
belfast,jo799i,Rules regarding visiting my dad from abroad during x-mas,2020-11-05,guys ve rules answer living moment hoping belfast spend hes planning coming weeks renting apartment weeks hen covid test plan stay weeks home month contact nyone allowed
belfast,jprs3q,"Hermes delivered my parcel to the wrong address and they're not opening the door to me, what can I do?",2020-11-08,delivered street delivery treet round door theyd minutes theyd delivered ve called couple times answer realise moment bought days ll money chance person round person allowed
belfast,js919q,"Parcel being sent to Belfast, Ireland instead of Northern Ireland/UK - help!",2020-11-12,ey recently hristmas ve caught theyre elfast reland elfast orthern reland nyone idea spent lot hanks
belfast,jsso8v,Don’t miss THE NI MUSIC PRIZE live tonight from 8pm,2020-11-12,usic ahead online event eah usic entre due eah ike live plan bring live experience home including live including incredible event lster
belfast,juv2rb,LIDL #GOAT,2020-11-16,ell whats happening hat middle born shite mad recommendations normal coffee biggest bar
belfast,jvu29o,NI MUSIC PRIZE 2020 Winners And Their Awards,2020-11-18,usic ahead week online incredible evening music eah usic entre ike lster brought live experience home world
belfast,jw05e6,When is town quiet?,2020-11-18,planning heading bit hristmas miss health quiet recently aturday morning time head
belfast,jwd2vl,Anytime Fitness - Stranmillis,2020-11-18,moving house anuary tranmillis move current gym orth gym experience hanks
belfast,jwljkr,"Survey Participants Required - PhD Research on Online Sexual Behaviours, Attitudes and Beliefs",2020-11-19,ello research niversity ent complete survey online spare minutes complete questionnaire greatly appreciated hank
belfast,jyuij8,Where's open today to go sit for a coffee and a bun?,2020-11-22,title ooking nice day lockdown bviously distancing preferably sit money
belfast,jzmixr,Christmas pints?,2020-11-24,opinions hat bars week thinking allowed pubs lot mixed house hristmas family bars people pubs een everyones missing hristmas
belfast,k0ejtj,English southerner moving to belfast for grad job,2020-11-25,thinking moving belfast outh ngland nglish wondering bviously ve id info elfast drive ny idea ll allowed normal recommend move love feel missing
belfast,k1sltq,Trying to find.....,2020-11-27,shot born elfast months information passed wondering elfast contact details theyd direction
belfast,k26a9q,💊 Participants Required for Online Study about Mental Health and Alcohol/Drug Use,2020-11-28,niversity study mental health mental health mental health nyone lives study complete online weeks questionnaire takes minutes complete questionnaire takes minutes ll questionnaire offered entry draw information visit questions email
belfast,k2fbdc,Looking to buy first Bodhran,2020-11-28,education playing music keen buy bviously usual google search love decent local direction ve experience shops lso aware international ny appreciated bviously support local business times
belfast,k44hsu,Cleaning company recommendations.,2020-12-01,bought house company clean ve reviews reviews recommend clean dont mind paying service hanks advance
belfast,k47fn7,Big thank you,2020-12-01,moved elfast ago love guys bad word scared friends people shops people ome people elfast people move found home dont care love guys girls amazing hristmas time
belfast,k4j0cn,Tried to stab me in botanic today,2020-12-01,botanic buying selling wrong person dont call time bit whos buying fuck
belfast,k4xuca,The murals,2020-12-02,ey planning heading tour hat check ny safe people south walk
belfast,k58djc,"CHSq Presents: SCOOTER ‘God Save The Rave’ Tour Live at Custom House Square, Belfast – Saturday 28th August 2021",2020-12-02,cooter return elfast biggest rish headline date aturday ugust ont miss amazing experience ave hits live tour complete cooter band nature music scene act time history cooter spent weeks weeks selling million
belfast,k5yis8,Starting a band,2020-12-04,wondering heres starting band een thinking ve music rock music
belfast,k7i08e,Vaping,2020-12-06,ve havent weeks offered ut vape left vape week continue
belfast,k93bj9,"Join Northern Ireland’s finest musicians, actors, poetry and story-telling, filmed live at the Ulster Folk Museum for UNDER A CHRISTMAS SKY",2020-12-08,nder hristmas ky nder hristmas ky orthern musicians live lster rom hear common ky cultural day ecember hristmas ve watch day door online film nder hristmas likes songs ove ut orthern
belfast,k940m3,To the 2 guys who tried to start a fight with me last night beside Lagan,2020-12-08,thinking hy feel country talking irst scared scared dont care talk hit ou guy hard time dont reading stuck dont shit
belfast,k98ifa,SADFAY 2020,2020-12-09,folks posted music project fairly writing music day song ay musicians stay heres
belfast,kaayt5,Did people get more rude?,2020-12-10,question lived abroad coming ve ve people realise hard lived anada orthern curious people feel changed street orthern rish people friendly hen abroad nature people pretty eople
belfast,kaek0x,"SCOOTER adds second Custom House Square, Belfast show due to phenomenal demand",2020-12-10,minutes pleased announce date cooter hey return elfast biggest rish headline date aturday unday ugust weekend ont miss amazing experience ave hits live tour complete cooter band nature music scene act time history cooter spent weeks weeks selling million cooter anniversary urope hey front fans spent summer including ark cooter party doesnt stop continue ave ave
belfast,kb1n91,Belfast's SILENT RUNNING release inspirational new single ‘Live Right Now’,2020-12-11,released single ive ow bands song idea ive ow constantly life whats ont feeling life running enjoy moment guess idea life moment situation world times living
belfast,kbo05r,Belfast vocalists,2020-12-12,guys friend mine starting band join ost stuff lease message ot age heers
belfast,kc99nc,Has anybody done the MA Film course at Queens?,2020-12-13,insight degree info offer hat experience degree field film ideally time
belfast,kcviit,Thoughts on moving to Sunnyside/Ormeau area,2020-12-14,girlfriend buying house renting student past road close street houses weve issue ere atholic weve heard stories people ts close opinion buying living opinions cheers
belfast,ke6q8d,"THE UNDERTONES announce headline Belfast show at Limelight 2 on Saturday, December 18th 2021",2020-12-16,pleased announce headline elfast aturday ecember riday ecember erry friends learning play rock erry rock ith live bands worth watching listening reading erry listening band ood elfast received
belfast,kfpj6o,Jewish bakeries in Belfast?,2020-12-19,girlfriend woman celebrate time children wondering town type cultural food atholic ve experienced feel food start nyone
belfast,kg5tew,Restaurant,2020-12-19,ooking recommendations restaurant date night recommendations thinking heard bad service
belfast,khf1c0,Winter solstice/ Great Conjunction,2020-12-21,ey elfast tonight tonight ould recommend elfast view event question view info
