title,Content,type,Post_ID
Dive Ed Sheeran,oh maybe i came on too strong maybe i waited too long maybe i played my cards wrong oh just a little bit wrong baby i apologize for it i could fall or i could fly here in your aeroplane and i could live i could die hanging on the words you say and i've been known to give my all and jumping in harder than ten thousand rocks on the lake so don't call me baby unless you mean it don't tell me you need me if you don't believe it so let me know the truth before i dive right into you you're a mystery i have travelled the world there's no other girl like you no one what's your history do you have a tendency to lead some people on cause i heard you do mm i could fall or i could fly here in your aeroplane and i could live i could die hanging on the words you say and i've been known to give my all and lie awake everyday don't know how much i can take so don't call me baby unless you mean it don't tell me you need me if you don't believe it so let me know the truth before i dive right into you i could fall or i could fly here in your aeroplane and i could live i could die hanging on the words you say and i've been known to give my all sitting back looking at every mess that i've made so don't call me baby unless you mean it don't tell me you need me if you don't believe it so let me know the truth before i dive right into you before i dive right into you before i dive right into you,Ed Sheeran,135
Drunk Ed Sheeran,i wanna be drunk when i wake up on the right side of the wrong bed and every excuse i made up tell you the truth i hate what didn't kill me it never made me stronger at all love will scar your make up lip sticks to me so now i'll maybe leave back there i'm sat here wishing i was sober i know i'll never hold you like i used to but our house gets cold when you cut the heating without you to hold i'll be freezing can't rely on my heart to beat it cause you take part of it every evening take words out of my mouth just from breathing replace with phrases like when you're leaving me should i should i maybe i'll get drunk again i'll be drunk again i'll be drunk again to feel a little love i wanna hold your heart in both hands i'll watch it fizzle at the bottom of a coke can and i've got no plans for the weekend so shall we speak then keep it between friends though i know you'll never love me like you used to there maybe other people like us you see the flicker of the clip when they light up flames just create us burns don't heal like before you don't hold me anymore on cold days coldplay's out like the band's the name i know i can't heal things with a hand shake you know i can't change as i began saying you cut me wide open like landscape open bottles of beer but never champagne we'll applaud you with the sound that my hands make should i should i maybe i'll get drunk again i'll be drunk again i'll be drunk again to feel a little love all by myself i'm here again all by myself you know i'll never change all by myself all by myself i'm just drunk again i'll be drunk again i'll be drunk again to feel a little love,Ed Sheeran,136
Eraser Ed Sheeran,i was born inside a small town i've lost that state of mind learned to sing inside the lord's house but stopped at the age of nine i forget when i get awards now the wave i had to ride the paving stones i played upon they kept me on the grind so blame it on the pain that blessed me with the life friends and family filled with envy when they should be filled with pride and when the world's against me is when i really come alive and everyday that satan tempts me i try to take it in my stride you know that i've got whisky with white lines and smoke in my lungs i think life has got to the point i know without it's no fun i need to get in the right mind and clear myself up instead i look in the mirror questioning what i've become i guess it's a stereotypical day for someone like me without a nine to five job or an uni degree to be caught up in the trappings of the industry they showed me the locked doors i find another use of key and you'll see i'm well aware of certain things that will destroy a man like me but with that said give me one more higher another one to take the sting away i am happy on my own so here i'll stay save your lovin arms for a rainy day and i'll find comfort in my pain eraser i used to think that nothing could be better than touring the world with my songs i chased the pictured perfect life i think they painted it wrong i think that money is the root of evil and fame is hell relationships and hearts you fixed they break as well and ain't nobody wanna see you down in the dumps because you're living your dream man this shit should be fun please know that i'm not trying to preach like i'm reverend run i beg you don't be disappointed with the man i've become our conversations with my father on the a14 age twelve telling me i've gotta chase those dreams now i'm playing for the people dad and they know me with my beat and small guitar wearing the same old jeans wembley stadium crowd two hundred and forty thou i may have grown up but i hope that damien's proud and to the next generation inspiration's allowed the world may be filled with hate but keep erasing it now somehow i'm well aware of certain things that will befall a man like me but with that said give me one more higher another one to take the sting away i am not beyond my own so here i'll stay save your lovin arms for a rainy day and i'll find comfort in my pain eraser and i'll find comfort in my pain eraser and i'll find comfort in my pain eraser i woke up this morning lookin in the mirror thinkin to myself that i should probably be thinner the industry told me to look like them but i found my happiness in fried food for my dinner i wish that she could have been my first time and i wish that i'd never took that first line and i wish that every word in this verse rhymed but forgive me if it doesn't i wish that i could make peace with my older cousin i wish he didn't think that it was me when it wasn't i wish i didn't love it when i'm high and my face feels buzzin and the taste stays underneath my tongue wish that i had known what to do as a youngling wish i hadn't dropped out of school and missed every single party with that hardly matters now man does it wish i had an answer to everything but fuck it i wish creatin art didn't come with a budget but while we're on the subject i wish my private life would have never gone public but that's the sacrifice that we make spendin my whole time high livin life away singin this is how we're livin down here sittin on the edge lookin out without fear yeah we got drama but you know we don't care i wanna see you sing it put your hands in the air one wish i'm singin this is how we're livin down here sittin on the edge lookin out without fear yeah we got drama but you know we don't care i wanna see you sing it put your hands in the air one wish i wish my family and friends they stay healthy i wish that love was a currency and the whole world was wealthy i found myself late night wishin on a star everyday i wish i'd never broken a heart uh and i wish i'd never run to every woman that i loved that kept my life and what it's come to i wish i was the role model you looked up to if i told my fans the things i did they'd say fuck you i wish i was home more i wish my teens could see the kids on the birthdays but yo we're on tour and i wish i'd grow more wish i told more people that i love em but it's in the music that i'm known for and i wish he never got cancer and if i smoke a pack a day well does that make me a wanker oh yes i guess it does and we're still stressin cause every day this shit gets the best of us usin my balance on eraser blades spendin my whole time high wishing life would wait singin this is how we're livin down here sittin on the edge lookin out without fear yeah we got drama but you know we don't care i wanna see you sing it put your hands in the air one wish i'm singin this is how we're livin down here sittin on the edge lookin out without fear yeah we got drama but you know we don't care i wanna see you sing it put your hands in the air one wish i'm using jumpers for goalposts cigarettes for throat cold mum sayin don't smoke no i don't listen i got love for a ghost note shows on the gold coast people that i don't know share the same vision i find truth in the hard times and words that aren't mine tryin to find a love with a compatible star sign sometimes i can't write sentences can't rhyme starin at my notepad quick i'm tryin to find mine shit quick before i hit it again surrounded in the industry by all these ignorant men and who knew that i'd be paid just to pick up a pen just let me hit the studio when we can rip it again i'm a competitive dick with an adrenaline kick my daddy told me work hard and you can never be shit i've seen all my heroes dethroned except my dad set back here reminiscing bout the times we had one wish,Ed Sheeran,137
Even My Dad Does Sometimes Ed Sheeran,it’s alright to cry even my dad does sometimes so don’t wipe your eyes tears remind you you’re alive it’s alright to die cause death's the only thing you haven’t tried but just for tonight hold on so live life like you’re giving up cause you act like you are go ahead and just live it up go on and tear me apart it’s alright to shake even my hand does sometimes so inside the rage against the dying of the light it’s alright to say that death’s the only thing you haven’t tried but just for today hold on so live life like you’re giving up cause you act like you are go ahead and just live it up go on and tear me apart so live life like your giving up cause you act like you are go ahead and just live it up go on and tear me apart hold on so live life like your giving up cause you act like you are go ahead and just live it up go on and tear me apart hold on,Ed Sheeran,138
Everything You Are Ed Sheeran,i didn't mean to break your heart i was just lonely and everybody falls apart sometimes i know you've found another one but won't you just hold me tonight i wish i never called you up nobody told me and they don't know they don't speak anymore so take a good look at us won't you just hold me tonight and i would stop trying to fall in love again and keep it a secret it never works out anyway but i am not anything like a voice cause you were the only one for me yeah yeah cause maybe i don't want to lose a lover and friend in one night if that's right i shouldn't have f cked with your mind and your life too many times or maybe i don't want to be lonely darling you are my only love behind my true loves everything you are i never meant to sleep around i was just lonely you did the same again and again i know so here's to the both of us here's to our story tonight oh i would stop trying to fall in love again and keep it a secret it never works out anyway but i am not anything like a voice cause you were the only one for me yeah cause maybe i don't want to lose a lover and friend in one night if that's right i shouldn't have f cked with your mind and your life too many times or maybe i don't want to be lonely darling you are my only love behind my true loves everything you are when i see my future it is with you we'll get there i want my children to be with you together cause maybe i don't want to lose a lover and friend in one night if that's right i shouldn't have f cked with your mind and your life too many times or maybe i don't want to be lonely darling you are my only love behind my true loves everything you are behind my true loves everything you are behind my true loves everything you are,Ed Sheeran,139
Friends Ed Sheeran,we're not no we're not friends nor have we ever been we just try to keep those secrets in our lives and if they find out will it all go wrong i never know no one wants it to so i could take the back road but your eyes'll lead me straight back home and if you know me like i know you you should love me you should know friends just sleep in another bed and friends don't treat me like you do well i know that there's a limit to everything but my friends won't love me like you no my friends won't love me like you we're not friends we could be anything if we tried to keep those secrets safe no one will find out if it all went wrong they'll never know what we've been through so i could take the back road but your eyes'll lead me straight back home and if you know me like i know you you should love me you should know friends just sleep in another bed and friends don't treat me like you do well i know that there's a limit to everything but my friends won't love me like you no my friends won't love me like you but then again if we're not friends someone else might love you too and then again if we're not friends there'd be nothing i could do and that's why friends should sleep in other beds and friends should kiss me like you do and i know that there's a limit to everything but my friends won't love me like you no my friends won't love me like you oh my friends will never love me like you,Ed Sheeran,140
Give Me Love Ed Sheeran,give me love like her cause lately i've been waking up alone paint splattered teardrops on my shirt told you i'd let them go and that i'll fight my corner maybe tonight i'll call ya after my blood turns into alcohol no i just wanna hold ya give a little time to me or burn this out we'll play hide and seek to turn this around all i want is the taste that your lips allow my my my my oh give me love my my my my oh give me love my my my my oh give me love my my my my give me love give me love like never before cause lately i've been craving more and it's been a while but i still feel the same maybe i should let you go you know i'll fight my corner and that tonight i'll call ya after my blood is drowning in alcohol no i just wanna hold ya give a little time to me or burn this out we'll play hide and seek to turn this around all i want is the taste that your lips allow my my my my oh give me love give a little time to me or burn this out we'll play hide and seek to turn this around all i want is the taste that your lips allow my my my my oh give me love my my my my oh give me love my my my my oh give me love my my my my oh give me love my my my my oh give me love m my my m my my m my my give me love lover m my my m my my m my my give me love lover m my my m my my m my my give me love lover m my my m my my m my my give me love lover m my my m my my m my my give me love lover m my my m my my m my my give me love lover m my my m my my m my my give me love lover m my my m my my m my my give me love lover love me love me love me m my my m my my m my my give me love lover give me love m my my m my my m my my give me love lover give me love m my my m my my m my my give me love lover give me love love me m my my m my my m my my give me love lover give me love my my my my oh give me love my my my my oh give me love my my my my oh give me love my my my my oh give me love my my my my oh give me love my my my my oh give me love my my my my oh give me love my my my my oh give me love my my my my oh give me love break hidden track the parting glass of all the money that e'er i had i've spent it in good company and all the harm that e'er i've done alas it was to none but me and all i've done for want of wit to memory now i can't recall so fill to me the parting glass good night and joy be with you all of all the comrades that e'er i had they are sorry for my going away and all the sweethearts that e'er i had they would wish me one more day to stay but since it falls unto my lot that i should rise and you should not i'll gently rise and i'll softly call good night and joy be with you all a man may drink and not be drunk a man may fight and not be slain a man may court a pretty girl and perhaps be welcomed back again but since it has so ought to be by a time to rise and a time to fall come fill to me the parting glass good night and joy be with you all good night and joy be with you all,Ed Sheeran,141
Galway Girl Ed Sheeran,she played the fiddle in an irish band but she fell in love with an english man kissed her on the neck and then i took her by the hand said baby i just want to dance i saw her on grafton street right outside of the bar she shared a cigarette with me while her brother played the guitar she asked me what does it mean the gaelic ink on your arm said it was one of my friend's songs do you want to drink on she took jamie as a chaser jack for the fun she got arthur on the table with johnny riding as a shotgun chilled some more one more drink at the bar then say i'm on the jukebox got to dance you know she played the fiddle in an irish band but she fell in love with an english man kissed her on the neck and then i took her by the hand said baby i just want to dance with my pretty little galway girl you're my pretty little galway girl you know she beat me at darts and then she beat me at pool and then she kissed me like there was nobody else in the room as last orders were called was when she stood on the stool after dancing to cèilidh singing to trad tunes i never heard carrickfergus ever sing so sweet a capella in the bar wring her feet for the beat oh i could have that while playing on repeat for a week and in this packed out room swear she was singing to me she played the fiddle in an irish band but she fell in love with an english man kissed her on the neck and then i took her by the hand said baby i just want to dance my pretty little galway girl my my my my my my my galway girl my my my my my my my galway girl my my my my my my my galway girl now we've outstayed our welcome and it's closing time i was holding her hand her hand was holding mine our coats both smell of smoke whisky and wine as we fill up our lungs with the cold air of the night i walked her home then she took me inside finish some doritos and another bottle of wine i swear i'm going to pot you in a song that i write about a galway girl and a perfect night she played the fiddle in an irish band but she fell in love with an english man kissed her on the neck and then i took her by the hand said baby i just want to dance my pretty little galway girl my my my my my my my galway girl my my my my my my my galway girl my my my my my my my galway girl,Ed Sheeran,142
Hearts Don't Break Around Here Ed Sheeran,she is the sweetest thing that i know should see the way she holds me when the lights go low shakes my soul like a pothole every time took my heart upon a one way trip guess she went wandering off with it none like most women i know this one will bring it back whole daisies daisies perched upon your forehead oh my baby lately i know that every night i'll kiss you you'll say in my ear oh we're in love aren't we hands in your hair fingers and thumbs baby i feel safe when you're holding me near love the way that you conquer your fear you know hearts don't break around here oh yeah yeah yeah yeah yeah yeah yeah she is the river flowin nowhere and tin wind chimes used for doorbells fields and trees and her smell fill my lungs spend my summertime beside her and the rest of the year the same she is the flint that sparks the lighter and the fuel that will hold the flame oh roses roses laid upon your bed spread oh my all this all this i know but every night i'll kiss you you'll say in my ear oh we're in love aren't we hands in your hair fingers and thumbs baby i feel safe when you're holding me near love the way that you conquer your fear you know hearts don't break around here oh yeah yeah yeah yeah yeah yeah yeah well i've found love inside the arms of the woman i know she is the lighthouse in the night that will safely guide me home and i'm not scared of passing over or the thought growing old cause from now until i go every night i kiss you you'll say in my ear oh we're in love aren't we hands in your hair fingers and thumbs baby i feel safe when you're holding me near love the way that you conquer your fear you know hearts don't break around here oh yeah yeah every night i kiss you you'll say in my ear oh we're in love aren't we hands in your hair fingers and thumbs baby i feel safe when you're holding me near love the way that you conquer your fear you know hearts don't break around here yeah yeah yeah you know hearts don't break around here oh yeah yeah yeah,Ed Sheeran,143
How Would You Feel Ed Sheeran,you are the one girl you know that it's true i'm feeling younger every time that i'm alone with you we were sitting in a parked car stealing kisses in a front yard we got questions we shouldn't had asked but how would you feel if i told you i loved you it's just something that i want to do i'm taking my time spending my life falling deeper in love with you so tell me that you love me too in the summer as the lilacs blew blood flows deeper than a river every moment that i spend with you we were sat upon our best friend's roof i had both of my arms around you watching the sunrise replace the moon how would you feel if i told you i loved you it's just something that i want to do i'm taking my time spending my life falling deeper in love with you so tell me that you love me too we were sitting in a parked car stealing kisses in a front yard we got questions we shouldn't had asked how would you feel if i told you i loved you it's just something that i want to do i'm taking my time spending my life falling deeper in love with you so tell me that you love me too tell me that you love me too tell me that you love me too,Ed Sheeran,144
